Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,selected_features,synthetic_rows,retained_trees,mean_tree_purity,inner_score,train_time,n_estimators,max_depth,min_samples_leaf,max_features,purity_threshold
0.0,0.0,0.0,0.0,0.0,0,interpolation,drf_de_margin,0.01,80,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.35625,0.3333333333333333,0.4433913605730157,0.2553345388788427,0.33066455696202535,0,interpolation,drf_de_margin,0.02,160,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.4875,0.33695652173913043,0.47571251272351534,0.24866406136922856,0.4476493583248902,0,interpolation,drf_de_margin,0.03,240,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.5375,0.4483350143651812,0.4870963411493988,0.33783299460742927,0.5390152827750508,0,interpolation,drf_de_margin,0.05,400,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.56875,0.3534498138380391,0.5059584647101169,0.2912540680957609,0.5990406944364625,0,interpolation,drf_de_margin,0.08,640,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.56,0.3480428201182841,0.49036702966446744,0.27584696484404786,0.5966358861435217,0,interpolation,drf_de_margin,0.1,800,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.54125,0.3604766724990683,0.4703039683078694,0.278763435781483,0.5966898181712306,0,interpolation,drf_de_margin,0.2,1600,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.5483333333333333,0.36496048064178904,0.4650102615524669,0.2865038439468441,0.6076657830738846,0,interpolation,drf_de_margin,0.3,2400,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.5496875,0.39045503629271605,0.44571104920862264,0.3044543091999378,0.6100569264848016,0,interpolation,drf_de_margin,0.4,3200,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.54925,0.38411909975946185,0.4248983262368729,0.300652446698412,0.6106269441072716,0,interpolation,drf_de_margin,0.5,4000,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.47575,0.32385286304431005,0.30540432257015526,0.25355846690445505,0.5329316524873982,0,interpolation,drf_de_full,1.0,8000,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.22115384615384615,0.31653439153439156,0.26300892468463377,0.11452023759716067,0.1977498586226397,0,extrapolation,drf_de_margin,0.01,312,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.36217948717948717,0.28686184151079785,0.30675942251346394,0.11067299214668191,0.33157555275350614,0,extrapolation,drf_de_margin,0.02,624,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.4091880341880342,0.31726071392748145,0.35432223730663437,0.16992602939048027,0.4003454209333058,0,extrapolation,drf_de_margin,0.03,936,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.5032051282051282,0.32707597262332483,0.45599743428940825,0.20215705152780686,0.5353808044357804,0,extrapolation,drf_de_margin,0.05,1560,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.5528846153846154,0.3162299506099629,0.49281684162841577,0.21709769757343997,0.605455244343754,0,extrapolation,drf_de_margin,0.08,2496,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.5673076923076923,0.3212337228670749,0.5032911835297184,0.22195773094384225,0.6276294378958416,0,extrapolation,drf_de_margin,0.1,3120,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.5429487179487179,0.3039396120991364,0.475355423904779,0.21575678148230723,0.5985286388936102,0,extrapolation,drf_de_margin,0.2,6240,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.4808760683760684,0.28370360831167213,0.42043671541866984,0.2046729984245913,0.5453095538191929,0,extrapolation,drf_de_margin,0.3,9360,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.47427884615384613,0.27493544589903984,0.39585805190023055,0.20121422313628076,0.5452270583026353,0,extrapolation,drf_de_margin,0.4,12480,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.4716666666666667,0.2672913354236574,0.38138341433374157,0.2017758561312153,0.5456211072850042,0,extrapolation,drf_de_margin,0.5,15600,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.4492628205128205,0.22463657562566233,0.3140796406915632,0.1767438406794948,0.5147640405566967,0,extrapolation,drf_de_full,1.0,31200,18,13720,73,0.42553304115760865,0.3877418298219236,32.11656069755554,77,7,7,0.3717953273198758,0.3921861398738836
0.5875,0.23979591836734693,0.3966202645547488,0.16319444444444445,0.5997395833333333,1,interpolation,drf_de_margin,0.01,80,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.525,0.2441860465116279,0.4109356233687679,0.1627906976744186,0.525,1,interpolation,drf_de_margin,0.02,160,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.6375,0.2467741935483871,0.4411182430995853,0.16451612903225807,0.6375,1,interpolation,drf_de_margin,0.03,240,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.705,0.4220194899440182,0.4892132939730011,0.20457646503070537,0.7290999738942344,1,interpolation,drf_de_margin,0.05,400,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.7796875,0.4569162995594714,0.5786157546180156,0.25070521170082544,0.8141140054651455,1,interpolation,drf_de_margin,0.08,640,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.79875,0.39035988704673263,0.591318899146028,0.22424273662931613,0.8300985166922641,1,interpolation,drf_de_margin,0.1,800,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.80625,0.437833186159079,0.6370453192283565,0.2866446441458313,0.8032313079583662,1,interpolation,drf_de_margin,0.2,1600,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.7316666666666667,0.3884932366235434,0.5575906081539543,0.28261109209935087,0.7170366163389391,1,interpolation,drf_de_margin,0.3,2400,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.6559375,0.38850267409939476,0.4730662135671056,0.2737458756953496,0.6481149550489517,1,interpolation,drf_de_margin,0.4,3200,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.612,0.3661490964651837,0.4213856082933161,0.26666961708380943,0.6113602910874126,1,interpolation,drf_de_margin,0.5,4000,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.484375,0.259179173725188,0.2879424452788354,0.21816495741032116,0.5261192392209791,1,interpolation,drf_de_full,1.0,8000,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.5096153846153846,0.26666666666666666,0.24212536610785146,0.13688949847933687,0.6128891681995624,1,extrapolation,drf_de_margin,0.01,312,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.6682692307692307,0.24947089947089948,0.2951942668938241,0.13901167524711364,0.740791397443758,1,extrapolation,drf_de_margin,0.02,624,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.6933760683760684,0.22468553459119497,0.2591487633277342,0.12173139574759945,0.7403436719601844,1,extrapolation,drf_de_margin,0.03,936,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.7403846153846154,0.33162824829491494,0.3624696608130309,0.2043041033761912,0.7841169108245597,1,extrapolation,drf_de_margin,0.05,1560,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.7888621794871795,0.31036842105263157,0.4088875615802009,0.19593250981708282,0.8186811556136279,1,extrapolation,drf_de_margin,0.08,2496,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.7919871794871794,0.32424064883311027,0.42163390621049346,0.2239676006075177,0.8150317216741049,1,extrapolation,drf_de_margin,0.1,3120,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.784775641025641,0.29931751524059436,0.541665900057494,0.23760173126200393,0.7875015983204623,1,extrapolation,drf_de_margin,0.2,6240,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.7602564102564102,0.26086279837925913,0.5406811621909952,0.2241656191958724,0.7520360522022461,1,extrapolation,drf_de_margin,0.3,9360,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.7329326923076923,0.244804487237035,0.49282788545177025,0.21015004242902097,0.7214865296907907,1,extrapolation,drf_de_margin,0.4,12480,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.7011538461538461,0.22512345036453826,0.44588042478234374,0.19735365219309714,0.6923141031275287,1,extrapolation,drf_de_margin,0.5,15600,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.5528205128205128,0.1890759859474708,0.32159695244150105,0.16472468691566255,0.5662046947699365,1,extrapolation,drf_de_full,1.0,31200,18,13720,56,0.5041266683538586,0.25097337268725395,30.91551685333252,56,8,4,0.5567932167825826,0.3492447361572944
0.8,0.4825396825396825,0.5402249781035051,0.3499184797886096,0.8289256198347108,2,interpolation,drf_de_margin,0.01,80,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.85625,0.3524046434494195,0.5378378135756708,0.29344896285011135,0.864909762100082,2,interpolation,drf_de_margin,0.02,160,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8666666666666667,0.35970017636684304,0.6407602141667648,0.29824184993146197,0.8684944722569878,2,interpolation,drf_de_margin,0.03,240,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.9025,0.3867471316719804,0.6974452683794471,0.3163568430278149,0.9018783500161446,2,interpolation,drf_de_margin,0.05,400,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.884375,0.46762379987079816,0.71656800678962,0.36302486290630925,0.8840829437678506,2,interpolation,drf_de_margin,0.08,640,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.87375,0.4822556027342005,0.7142415383167376,0.3521194051833869,0.8705994806839221,2,interpolation,drf_de_margin,0.1,800,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.815625,0.4051856884109961,0.5795159919291688,0.26034820714343493,0.8324355644039554,2,interpolation,drf_de_margin,0.2,1600,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.7879166666666667,0.4503482416031241,0.5725771327416359,0.2859164924972359,0.8135473207504863,2,interpolation,drf_de_margin,0.3,2400,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.7834375,0.4476698098852396,0.5561237520998752,0.28117809071513217,0.8065922997863653,2,interpolation,drf_de_margin,0.4,3200,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.75125,0.43744647962764,0.5020437045898775,0.27074790584972114,0.7763127089474962,2,interpolation,drf_de_margin,0.5,4000,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.613125,0.3232123017348448,0.33807468584685174,0.2383715451290016,0.6576799723267254,2,interpolation,drf_de_full,1.0,8000,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8910256410256411,0.32108843537414966,0.31572446360161144,0.2713898567557104,0.9126016260162603,2,extrapolation,drf_de_margin,0.01,312,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8814102564102564,0.3176378992382063,0.7467174081707186,0.28667061890538187,0.8815638280706002,2,extrapolation,drf_de_margin,0.02,624,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.875,0.2906848319330029,0.7579188873171159,0.2897691838435982,0.8648124217945072,2,extrapolation,drf_de_margin,0.03,936,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8506410256410256,0.2645802211324631,0.7536358985313016,0.25827107816279476,0.8212414597340552,2,extrapolation,drf_de_margin,0.05,1560,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8413461538461539,0.24825241952240953,0.7471619837371614,0.23752973369341657,0.8039043859118126,2,extrapolation,drf_de_margin,0.08,2496,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8435897435897436,0.2515360229684558,0.7424264242812476,0.23807646776063096,0.8075956543547717,2,extrapolation,drf_de_margin,0.1,3120,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8275641025641025,0.25252486041249383,0.7146328998460115,0.2305798381731037,0.7841981264161869,2,extrapolation,drf_de_margin,0.2,6240,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8347222222222223,0.2529061104190605,0.7113424627872369,0.2314221441277299,0.7936446680338397,2,extrapolation,drf_de_margin,0.3,9360,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8294871794871795,0.24633018626864892,0.6948118900333953,0.22816817323189606,0.7887844153224012,2,extrapolation,drf_de_margin,0.4,12480,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.8144230769230769,0.23992149064427012,0.6673593250996176,0.22424207026139625,0.7743377126179569,2,extrapolation,drf_de_margin,0.5,15600,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.6648397435897436,0.2035827406232631,0.4584666981472216,0.18387843073909615,0.6346318593105502,2,extrapolation,drf_de_full,1.0,31200,18,13720,49,0.5898868097351575,0.33132123439761935,34.230844497680664,49,10,3,0.5138612366264244,0.4496585599668207
0.05,0.16,0.21509366430273852,0.13333333333333333,0.05,3,interpolation,drf_de_margin,0.01,80,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.44375,0.3207070707070707,0.4311120802376763,0.27195767195767195,0.43527777777777776,3,interpolation,drf_de_margin,0.02,160,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.5958333333333333,0.3297550707998469,0.4619450417239567,0.2833339794533824,0.5901994572591588,3,interpolation,drf_de_margin,0.03,240,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.675,0.3561837891106184,0.4744504032157248,0.3005763710211667,0.6709311878006844,3,interpolation,drf_de_margin,0.05,400,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.69375,0.4280919923957899,0.5521839156172246,0.4077933721898432,0.7081800563477105,3,interpolation,drf_de_margin,0.08,640,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.71625,0.47079343355987857,0.5850125181363134,0.42211131576603106,0.7228599589831118,3,interpolation,drf_de_margin,0.1,800,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.681875,0.44233041908647464,0.5562627728251895,0.34334881494606895,0.7068196530262404,3,interpolation,drf_de_margin,0.2,1600,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.6304166666666666,0.4108359201722531,0.4971308988903183,0.3173277288373033,0.6810618345613408,3,interpolation,drf_de_margin,0.3,2400,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.6046875,0.3971193688386748,0.44624972621867903,0.3135162436216928,0.6552722712772386,3,interpolation,drf_de_margin,0.4,3200,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.55125,0.3886553182248118,0.38006549122380856,0.28031792368384967,0.6128806612076274,3,interpolation,drf_de_margin,0.5,4000,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.446,0.30609245292159254,0.26104356883934005,0.22755341134541537,0.5226160429466797,3,interpolation,drf_de_full,1.0,8000,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.041666666666666664,0.1111111111111111,0.0,0.008888888888888889,0.0033333333333333335,3,extrapolation,drf_de_margin,0.01,312,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.08974358974358974,0.20038434661076168,0.11524529993188662,0.0733283138990502,0.08597192996868903,3,extrapolation,drf_de_margin,0.02,624,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.18055555555555555,0.2205767488348394,0.16795051035238526,0.0896934882888835,0.21497888781297197,3,extrapolation,drf_de_margin,0.03,936,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
